NEVO-code,productnaam,energie_kcal,koolhydraten_g,eiwitten_g,vetten_g
1437,Vink kalfs- rauw,159,0.0,20.7,8.5
1438,Kalfsfricandeau rauw,111,0.0,22.0,2.6
1439,Lever kalfs- rauw,108,2.0,17.7,3.3
1440,Kalfsschenkel rauw,112,0.0,21.3,2.9
1441,Kalfstong rauw,168,0.0,17.6,10.9
1442,Kalfszwezerik rauw,89,0.0,18.4,1.7
1443,Lamsbout rauw,174,0.0,19.2,10.8
1444,Gehakt lams-/schapen- rauw,218,0.0,19.3,15.7
1445,Lamskarbonade rauw,223,0.0,19.2,16.3
1446,Lamszadel rauw,256,0.0,18.6,20.2
1447,Lamsschouder rauw,187,0.0,20.0,11.9
1450,Chocolade puur suikervrij,454,42.1,5.3,33.0
1451,Chocolade melk- m hazelnoten z suiker,498,46.5,8.9,35.4
1454,Biet rode zoetzuur glas,37,7.6,0.5,0.1
1455,Aardappelpureepoeder gem,368,70.2,8.6,4.6
1456,Frites voorgebakken diepvries onbereid,146,24.4,2.3,3.8
1457,Aardappelen gebakken,119,16.5,1.8,4.8
1458,Seitan gekruid,198,4.0,28.4,7.2
1459,Tarwekrentenbrood volkoren,253,46.2,9.3,1.9
1460,Koek ontbijt- gember,318,70.7,2.7,2.1
1461,Pasta sesam- tahin m toegevoegd zout,585,1.8,21.9,51.7
1462,Sap ananas-,47,11.2,0.5,0.0
1463,Vruchtendrank 2 of meer vruchten,43,10.7,0.2,0.0
1464,Melk chocolade- halfvolle,76,11.9,3.3,1.6
1465,Likeur <15 vol% alc,200,29.0,0.0,0.0
1466,Likeur >25 vol% alc,291,29.0,0.0,0.0
1468,Bier zwaar >7 vol% alcohol,64,4.3,0.5,0.0
1469,Room banketbakkers-,143,22.9,3.6,4.1
1470,Berliner bol,293,44.4,5.3,10.0
1471,Biscuit m chocolade,479,65.8,7.3,20.0
1472,Creme au beurre,567,40.4,0.6,44.8
1473,Donut ongevuld,358,35.5,6.0,21.1
1474,IJs water-,75,18.0,0.2,0.2
1475,Soes slagroom-,283,15.1,4.1,22.9
1476,Taart schuim- m creme au beurre,391,50.7,4.6,18.7
1477,Koekje suikervrij,433,63.7,6.6,21.4
1478,Vlaai kruimel- m vruchten,199,30.9,3.3,6.4
1479,Taart Mon Chou-,330,33.2,2.5,20.5
1480,Koekje PiM's sinaasappel,373,60.0,3.6,12.5
1481,Wafel rijst- naturel m (zee)zout,392,81.3,7.8,3.2
1483,Stamppot boerenkool z vlees bereid,82,11.6,1.9,2.6
1484,Uitjes gebakken kant-en-klaar,590,40.0,6.0,44.0
1485,Stamppot wortel/ui z vlees bereid,63,10.0,1.1,1.6
1486,Stamppot zuurkool z vlees bereid,68,10.1,1.5,2.0
1487,Kaas Brie 60+,369,1.0,17.0,33.0
1488,Kaassouffle diepvries onbereid,304,32.8,8.1,15.4
1489,Kaas verse light 8% vet,132,2.5,11.3,8.5
1491,Lasagne bolognese koelverse maaltijd,162,12.1,9.0,8.4
1492,Jus gem ongebonden bereid z juspoeder,340,0.3,0.2,37.6
1493,Taart hartige v brooddeeg m groente/kaas/ei,159,13.5,7.9,7.8
1496,Salade vis- lunch/borrel,304,6.9,8.6,26.8
1497,Salade ham-prei- lunch/borrel,243,7.0,3.6,21.9
1498,Salade kip-kerrie- lunch/borrel,285,6.9,8.8,24.3
1499,Salade ei- lunch/borrel,255,5.6,7.3,22.3
1501,Mix kruiden- m gedroogde groente onbereid,311,57.0,9.5,3.8
1502,Yoghurt halfvolle,50,4.3,4.2,1.5
1505,Chips light naturel,490,63.5,7.3,22.0
1506,Soesje kaas-,317,8.6,6.0,28.5
1507,Borstplaat room-,346,79.0,0.7,3.1
1508,Bonbon,512,51.8,5.5,30.7
1509,Mueslireep m chocolade,472,61.7,7.9,20.2
1512,Schnitzel vegetarisch obv soja/tarwe onbereid verrijkt m ijzer en vit B12 ,192,14.5,15.5,7.0
1515,Saus op basis roux bereid,84,6.5,2.4,5.3
1516,Saus op basis groentenat/melk bereid z vet,46,7.2,2.2,0.9
1517,Saus op basis pakje <3% vet bereid,62,10.6,1.7,1.4
1518,Saus op basis pakje >3% vet bereid,76,7.8,1.2,4.4
1519,"Bier alcoholvrij <0,1 vol% alcohol",26,6.1,0.3,0.0
1520,"Bier alcoholarm 0,1-1,2 vol% alcohol",22,4.5,0.3,0.0
1521,Limonade vruchten- light,3,0.7,0.0,0.0
1522,Frisdrank light z cafeine,0,0.0,0.0,0.0
1523,Frisdrank light m cafeine,0,0.0,0.0,0.0
1524,Saus tomaten- kant-en-klaar glas,68,6.9,1.6,3.3
1528,Bouillon v blokje bereid,5,0.3,0.1,0.3
1530,Boterproduct halfvolle,337,0.7,0.3,37.0
1531,Stamppot rauwe andijvie z vlees bereid,65,12.7,1.9,0.4
1533,Taart hartige v bladerdeeg m groente/kaas/ei,215,12.7,8.7,14.1
1536,Runderbiefstuk bereid,146,0.0,29.3,3.2
1538,Runderentrecote bereid,192,0.0,31.0,7.5
1539,Runderbaklappen bereid,140,0.0,27.5,3.3
1540,Gehakt runder- rul gebakken,331,0.3,30.4,23.1
1541,Runderklapstuk bereid,187,0.0,29.6,7.6
1542,Lever runder- bereid,161,0.0,28.1,5.4
1543,Runderpoulet bereid,216,0.0,30.9,10.2
1544,Runderrollade gebakken,157,0.2,33.5,2.3
1545,Runderrosbief bereid,156,0.2,27.2,5.1
1546,Runderschenkel bereid,140,0.0,27.5,3.3
1547,Runderriblappen bereid,230,0.0,34.1,10.4
1548,Runder doorregen lappen bereid,212,0.0,34.6,8.2
1549,Rundersukadelappen bereid,189,0.0,33.4,6.1
1550,Rundertartaar bereid,186,0.3,30.1,7.2
1551,Varkensbraadworst bereid,246,0.6,22.4,17.1
1552,Varkensfiletlappen bereid,157,0.0,28.7,4.7
1553,Varkensfricandeau bereid,158,0.0,31.2,3.7
1554,Varkenshamlappen bereid,167,0.0,31.1,4.7
1555,Gehakt varkens- gebakken,243,0.2,26.4,15.2
1556,Varkenshaas bereid,142,0.0,28.7,3.0
1557,Varkenshamschijf bereid,308,0.0,37.1,17.7
1558,Varkenshaaskarbonade bereid,179,0.0,28.5,7.3
1559,Varkensschouderkarbonade bereid,308,0.0,37.1,17.7
1560,Lever varkens- bereid,164,0.0,27.9,5.8
1561,Varkenskrabbetjes bereid,246,0.6,22.4,17.1
1563,Varkensoester bereid,142,0.0,28.7,3.0
1564,Varkensschouderlappen bereid,170,0.0,27.6,6.6
1565,Vink sla- gebakken,277,1.0,20.7,21.1
1568,Gehaktbal hoh m ei gebakken,262,5.3,20.5,17.4
1569,Hamburger bereid,255,0.9,22.5,17.9
1570,Kalfsentrecote bereid,166,0.0,27.5,6.3
1571,Vink kalfs- gebakken,186,0.3,30.1,7.2
1572,Kalfsfricandeau bereid,121,0.0,25.2,2.2
1573,Lever kalfs- bereid,172,2.0,27.9,5.8
1574,Kalfsschenkel bereid,140,0.0,27.5,3.3
1575,Lamsbout bereid,256,0.0,25.6,17.1
1576,Gehakt lams- gebakken,252,0.3,30.4,14.4
1577,Lamskarbonade bereid,350,0.0,25.8,27.5
1578,Lamszadel bereid,308,0.0,24.7,23.2
1579,Lamsschouder bereid,284,0.0,27.9,19.1
1583,Mosselen gebakken/gefrituurd in plantaardige olie,268,7.2,17.2,19.0
1584,Inktvisringen gefrituurd in plantaardige olie,440,13.8,26.2,31.1
1585,Heilbot gerookt,211,0.0,19.4,14.8
1586,Makreelfilet gerookt,301,0.0,21.1,24.1
1587,Zalm kweek- rauw,179,0.0,20.0,11.0
1588,Ansjovis in olie blik,208,0.1,25.0,11.9
1589,Tonijn in olie blik,206,0.1,27.0,10.8
1590,Tonijn in water blik,109,0.0,24.9,1.0
1595,Chili con carne,134,10.5,8.3,5.6
